[ 2026-03-12 02:12:51,411 ] 21 root - INFO - Initiate the data ingestion
[ 2026-03-12 02:12:57,984 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-12 02:12:57,984 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-12 02:12:57,984 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-12 02:12:58,109 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-12 02:12:58,109 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-12 02:12:58,122 ] 27 root - INFO - Initiate the data Validation
[ 2026-03-12 02:12:58,216 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 02:12:58,216 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 02:12:58,254 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 02:12:58,254 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 02:12:58,491 ] 29 root - INFO - data Validation Completed
[ 2026-03-12 02:12:58,491 ] 32 root - INFO - data Transformation started
[ 2026-03-12 02:12:58,493 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-12 02:12:58,493 ] 65 root - INFO - Starting data transformation
[ 2026-03-12 02:12:58,537 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-12 02:12:58,538 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-12 02:12:58,564 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 02:12:58,576 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 02:12:58,576 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 02:12:58,580 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 02:12:58,580 ] 36 root - INFO - data Transformation completed
[ 2026-03-12 02:12:58,580 ] 38 root - INFO - Model Training sstared
